codeValue,description,shortDescription,namespace
4C (N+V-),,4C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4C (N+Q-),,4C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V-),,4E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V+),,4E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q-),,4E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q+),,4E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N-),,4E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N+),,4E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V-Q+),,4E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V-N+),,4E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V+Q-),,4E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (V+N-),,4E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q-V+),,4E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q-N+),,4E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q+V-),,4E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (Q+N-),,4E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N-V+),,4E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N-Q+),,4E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N+V-),,4E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
4E (N+Q-),,4E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5A,,5A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (V-),,5B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (V+),,5B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (Q-),,5B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (Q+),,5B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (N-),,5B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5B (N+),,5B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (V-Q+),,5C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (V-N+),,5C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (V+Q-),,5C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (V+N-),,5C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (Q-V+),,5C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (Q-N+),,5C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (Q+V-),,5C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (Q+N-),,5C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (N-V+),,5C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (N-Q+),,5C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (N+V-),,5C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5C (N+Q-),,5C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V-),,5E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V+),,5E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q-),,5E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q+),,5E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N-),,5E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N+),,5E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V-Q+),,5E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V-N+),,5E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V+Q-),,5E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (V+N-),,5E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q-V+),,5E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q-N+),,5E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q+V-),,5E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (Q+N-),,5E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N-V+),,5E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N-Q+),,5E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N+V-),,5E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
5E (N+Q-),,5E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6A,,6A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (V-),,6B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (V+),,6B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (Q-),,6B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (Q+),,6B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (N-),,6B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6B (N+),,6B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (V-Q+),,6C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (V-N+),,6C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (V+Q-),,6C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (V+N-),,6C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (Q-V+),,6C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (Q-N+),,6C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (Q+V-),,6C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (Q+N-),,6C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (N-V+),,6C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (N-Q+),,6C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (N+V-),,6C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6C (N+Q-),,6C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V-),,6E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V+),,6E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q-),,6E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q+),,6E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N-),,6E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N+),,6E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V-Q+),,6E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V-N+),,6E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V+Q-),,6E (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (V+N-),,6E (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q-V+),,6E (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q-N+),,6E (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q+V-),,6E (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (Q+N-),,6E (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N-V+),,6E (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N-Q+),,6E (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N+V-),,6E (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
6E (N+Q-),,6E (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7A,,7A,uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (V-),,7B (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (V+),,7B (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (Q-),,7B (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (Q+),,7B (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (N-),,7B (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7B (N+),,7B (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (V-Q+),,7C (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (V-N+),,7C (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (V+Q-),,7C (V+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (V+N-),,7C (V+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (Q-V+),,7C (Q-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (Q-N+),,7C (Q-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (Q+V-),,7C (Q+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (Q+N-),,7C (Q+N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (N-V+),,7C (N-V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (N-Q+),,7C (N-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (N+V-),,7C (N+V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7C (N+Q-),,7C (N+Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (V-),,7E (V-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (V+),,7E (V+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q-),,7E (Q-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (Q+),,7E (Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N-),,7E (N-),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (N+),,7E (N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (V-Q+),,7E (V-Q+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
7E (V-N+),,7E (V-N+),uri://www.riversideinsights.com/cognitive_abilities_test/PerformanceLevelDescriptor
