assessmentIdentifier,edfi_descriptor
cambridge_A_9695,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_A_9696,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9699,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9700,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9701,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9702,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9705,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9706,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9708,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9709,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_A_9716,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9717,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9718,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9897,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9898,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9981,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9982,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9990,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8021,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_8022,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8027,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8028,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8101,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8102,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8238,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8291,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_AS_8386,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
cambridge_AS_8679,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8680,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8682,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8683,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8684,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8686,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8689,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8695,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_9084,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9093,uri://ed-fi.org/AcademicSubjectDescriptor#English
cambridge_AS_9231,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_AS_9239,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9274,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9395,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9479,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9481,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9482,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9483,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9484,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9487,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9488,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9489,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9607,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9609,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9618,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9626,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9680,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_9693,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_AS_9694,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9695,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_9696,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9699,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9700,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9701,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9702,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9705,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9706,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9708,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9709,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_AS_9898,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_9981,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9982,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9990,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
