assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
cambridge_A_9274,Cambridge - Classical Studies (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9395,Cambridge - Travel & Tourism (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9479,Cambridge - Art & Design (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9481,Cambridge - Digital Media & Design (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9482,Cambridge - Drama (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9483,Cambridge - Music (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9484,Cambridge - Biblical Studies (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9487,Cambridge - Hinduism (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9488,Cambridge - Islamic Studies (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9489,Cambridge - History (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9607,Cambridge - Media Studies (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9609,Cambridge - Business (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9618,Cambridge - Computer Science (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9626,Cambridge - Information Technology (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9680,Cambridge - Arabic (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9693,Cambridge - Marine Science (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_A_9694,Cambridge - Thinking Skills (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9695,Cambridge - English (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_A_9696,Cambridge - Geography (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9699,Cambridge - Sociology (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9700,Cambridge - Biology (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9701,Cambridge - Chemistry (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9702,Cambridge - Physics (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_A_9705,Cambridge - Design & Technology (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9706,Cambridge - Accounting (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9708,Cambridge - Economics (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9709,Cambridge - Mathematics (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_A_9716,Cambridge - French (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9717,Cambridge - German (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9718,Cambridge - Portuguese (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9897,Cambridge - German Language & Literature (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9898,Cambridge - French Language & Literature (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9981,Cambridge - European History (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9982,Cambridge - International History (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9990,Cambridge - Psychology (A Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8021,Cambridge - English General Paper (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_8022,Cambridge - Spanish Language (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8027,Cambridge - German (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8028,Cambridge - French Language (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8101,Cambridge - US History to 1877 (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8102,Cambridge - US History since 1877 (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_8238,Cambridge - Chinese Language (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8291,Cambridge - Environmental Management (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_AS_8386,Cambridge - Sport & Physical Education (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
cambridge_AS_8679,Cambridge - Afrikaans (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8680,Cambridge - Arabic (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8682,Cambridge - French (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8683,Cambridge - German (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8684,Cambridge - Portuguese (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8686,Cambridge - Urdu (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8689,Cambridge - Tamil (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_8695,Cambridge - English (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_9084,Cambridge - Law (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9093,Cambridge - English Language (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English
cambridge_AS_9231,Cambridge - Mathematics (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_AS_9239,Cambridge - Global Perspectives & Research (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9274,Cambridge - Classical Studies (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9395,Cambridge - Travel & Tourism (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9479,Cambridge - Art & Design (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9481,Cambridge - Digital Media & Design (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9482,Cambridge - Drama (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9483,Cambridge - Music (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_AS_9484,Cambridge - Biblical Studies (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9487,Cambridge - Hinduism (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9488,Cambridge - Islamic Studies (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_AS_9489,Cambridge - History (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9607,Cambridge - Media Studies (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9609,Cambridge - Business (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9618,Cambridge - Computer Science (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9626,Cambridge - Information Technology (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9680,Cambridge - Arabic (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_9693,Cambridge - Marine Science (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_AS_9694,Cambridge - Thinking Skills (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9695,Cambridge - English (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
cambridge_AS_9696,Cambridge - Geography (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_AS_9699,Cambridge - Sociology (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9700,Cambridge - Biology (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9701,Cambridge - Chemistry (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9702,Cambridge - Physics (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
cambridge_AS_9705,Cambridge - Design & Technology (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9706,Cambridge - Accounting (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9708,Cambridge - Economics (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_AS_9709,Cambridge - Mathematics (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_AS_9898,Cambridge - French Language & Literature (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_AS_9981,Cambridge - European History (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9982,Cambridge - International History (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_AS_9990,Cambridge - Psychology (AS Level),Cambridge,uri://cambridgeinternational.org,uri://ed-fi.org/AssessmentCategoryDescriptor#Class test,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
