codeValue,description,namespace,shortDescription
Weeks Met Usage,The total number of weeks the student met his/her usage prescription,uri://www.lexialearning.com,Weeks Met Usage
Percent Weeks Met Usage,A decimal representing the weeks that the student met usage divided by the weeks that the student had usage.,uri://www.lexialearning.com,Percent Weeks Met Usage
Target Missed Average,The average number of minutes the student needed to reach their target for the weeks that the student used the program and missed their target.,uri://www.lexialearning.com,Target Missed Average
Total Minutes YTD,The total number of minutes the student spent on the program throughout the school year.,uri://www.lexialearning.com,Total Minutes YTD
Avg Units Per Week,The average number of units per week that the student completed (based on total units completed divided by weeks that the student had usage).,uri://www.lexialearning.com,Avg Units Per Week
Months of Growth,This index of student progress converts students’ “units gained” in Core5 into a time-based measurement that school leaders can use to understand student progress. The formula for calculating months of growth is based on research that determined students who use Core5 with fidelity complete on average four levels -- or 280 units -- of Core5 over a school year. Thus students need to complete about 28 units per month in order to complete four levels (or 280 units) over a standard 10-month school year. Months of growth approx. = student’s units gained / 28,uri://www.lexialearning.com,Months of Growth
Benchmark Predictor,Student’s % chance of meeting end-of-year benchmark (100%=met benchmark),uri://www.lexialearning.com,Benchmark Predictor
Risk Level,Student’s risk level based on Performance Predictor,uri://www.lexialearning.com,Risk Level
Reading Focus,Component of reading,uri://www.lexialearning.com,Reading Focus
Needs Instruction Indicator,If the student is struggling on the activity (0=not struggling; 1=struggling),uri://www.lexialearning.com,Needs Instruction Indicator
Accuracy,The student’s accuracy in the activity (High; Medium; Low),uri://www.lexialearning.com,Accuracy
Rate,The student’s rate in the activity (Fast; Average; Slow),uri://www.lexialearning.com,Rate
Percent Completed,The percentage of the activity that is complete,uri://www.lexialearning.com,Percent Completed
Current Unit,The number of the unit that the student is currently working on.,uri://www.lexialearning.com,Current Unit
Max Unit,The maximum number of units in the activity.,uri://www.lexialearning.com,Max Unit
Complete Flag,0=in progress; 1=complete,uri://www.lexialearning.com,Complete Flag
Advanced Flag,If the student was advanced over the activity (0=not advanced; 1=advanced),uri://www.lexialearning.com,Advanced Flag
Activity Time,The number of minutes that the student spent in the activity.,uri://www.lexialearning.com,Activity Time
Attempts At Standard,The number of attempts at the Standard step (cumulative for the activity),uri://www.lexialearning.com,Attempts At Standard
Attempts At Practice,The number of attempts at the Practice step (cumulative for the activity),uri://www.lexialearning.com,Attempts At Practice
Attempts At Instruction,The number of attempts at the Instructional step (cumulative for the activity),uri://www.lexialearning.com,Attempts At Instruction
Level,The Level Number (1-21),uri://www.lexialearning.com,Level
Grade Level of Material,The grade level of the material,uri://www.lexialearning.com,Grade Level of Material
Units To Benchmark,Number of units the student must complete to reach end-of-year benchmark.,uri://www.lexialearning.com,Units To Benchmark
Weekly Usage Target,Student's individualized target weekly usage based on Performance Predictor,uri://www.lexialearning.com,Weekly Usage Target
Meeting Target Usage,1=student consistently meeting recommended usage; 0=student not consistently meeting recommended usage,uri://www.lexialearning.com,Meeting Target Usage
Weekly Units Target,Student’s individualized target weekly units based on Performance Predictor,uri://www.lexialearning.com,Weekly Units Target
Certificate Delivered,If the certificate for this level was marked as delivered (1=yes; 0=no).,uri://www.lexialearning.com,Certificate Delivered
Skillbuilder Delivered,If the Skill Builder for this level was marked as delivered (1=yes; 0=no).,uri://www.lexialearning.com,Skillbuilder Delivered
Lessons Delivered,The number of Lessons delivered for this activity so far.,uri://www.lexialearning.com,Lessons Delivered
Current Usage Target,The student’s individualized weekly usage target as of the time of the export based on Performance Predictor.,uri://www.lexialearning.com,Current Usage Target
Current Units Target,Targethe student’s individualized weekly units target as of the time of the export.,uri://www.lexialearning.com,Current Units Target
Level Skill Check,The student’s Skill Check score for the level (available only for levels with all five Skill Check activities completed). Displays as a percentage of number of questions answered correctly out of the total number of questions across all activities of the Skill Check (e.g. 92%),uri://www.lexialearning.com,Level Skill Check
Activity Skill Check,The student’s Skill Check score for the activity. Displays as a percentage of number of question answered correctly out of the number of questions in the check for that activity (e.g. 92%).,uri://www.lexialearning.com,Activity Skill Check
