Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Season,Final_Date,cbmr_english_total_words_read,cbmr_english_words_read_correct,cbmr_english_wrc_per_minute,cbmr_english_median_accuracy,cbmr_english_error_twr_wrc,cbmr_english_percentile_at_school,cbmr_english_percentile_at_lea,cbmr_english_percentile_at_nation,cbmr_english_risk_level,cbmr_english_final_date,concepts_of_print_total_items,concepts_of_print_items_correct,concepts_of_print_ic_per_minute,concepts_of_print_error_total_items_items_correct,concepts_of_print_percentile_at_school,concepts_of_print_percentile_at_lea,concepts_of_print_percentile_at_nation,concepts_of_print_risk_level,concepts_of_print_final_date,decodable_words_total_words_read,decodable_words_words_read_correct,decodable_words_wrc_per_minute,decodable_words_percentile_at_school,decodable_words_percentile_at_lea,decodable_words_percentile_at_nation,decodable_words_risk_level,decodable_words_final_date,early_reading_english_composite_score,early_reading_english_percentile_at_school,early_reading_english_percentile_at_lea,early_reading_english_percentile_at_nation,early_reading_english_risk_level,letter_names_total_words_read,letter_names_words_read_correct,letter_names_wrc_per_minute,letter_names_percentile_at_school,letter_names_percentile_at_lea,letter_names_percentile_at_nation,letter_names_risk_level,letter_names_final_date,letter_sounds_total_words_read,letter_sounds_words_read_correct,letter_sounds_wrc_per_minute,letter_sounds_percentile_at_school,letter_sounds_percentile_at_lea,letter_sounds_percentile_at_nation,letter_sounds_risk_level,letter_sounds_final_date,nonsense_words_total_words_read,nonsense_words_words_read_correct,nonsense_words_wrc_per_minute,nonsense_words_percentile_at_school,nonsense_words_percentile_at_lea,nonsense_words_percentile_at_nation,nonsense_words_risk_level,nonsense_words_final_date,onset_sounds_total_items,onset_sounds_items_correct,onset_sounds_ic_per_minute,onset_sounds_error_total_items_items_correct,onset_sounds_percentile_at_school,onset_sounds_percentile_at_lea,onset_sounds_percentile_at_nation,onset_sounds_risk_level,onset_sounds_final_date,oral_repetition_total_items,oral_repetition_items_correct,oral_repetition_ic_per_minute,oral_repetition_error_total_items_items_correct,oral_repetition_percentile_at_school,oral_repetition_percentile_at_lea,oral_repetition_percentile_at_nation,oral_repetition_risk_level,oral_repetition_final_date,sentence_reading_total_words_read,sentence_reading_words_read_correct,sentence_reading_wrc_per_minute,sentence_reading_percentile_at_school,sentence_reading_percentile_at_lea,sentence_reading_percentile_at_nation,sentence_reading_risk_level,sentence_reading_final_date,sight_words_total_words_read,sight_words_words_read_correct,sight_words_wrc_per_minute,sight_words_percentile_at_school,sight_words_percentile_at_lea,sight_words_percentile_at_nation,sight_words_risk_level,sight_words_final_date,word_blending_total_items,word_blending_items_correct,word_blending_ic_per_minute,word_blending_error_total_items_items_correct,word_blending_percentile_at_school,word_blending_percentile_at_lea,word_blending_percentile_at_nation,word_blending_risk_level,word_blending_final_date,word_rhyming_total_items,word_rhyming_items_correct,word_rhyming_ic_per_minute,word_rhyming_error_total_items_items_correct,word_rhyming_percentile_at_school,word_rhyming_percentile_at_lea,word_rhyming_percentile_at_nation,word_rhyming_risk_level,word_rhyming_final_date,word_segmenting_total_items,word_segmenting_items_correct,word_segmenting_ic_per_minute,word_segmenting_error_total_items_items_correct,word_segmenting_percentile_at_school,word_segmenting_percentile_at_lea,word_segmenting_percentile_at_nation,word_segmenting_risk_level,word_segmenting_final_date,decodable_words_error,letter_names_error,letter_sounds_error,nonsense_words_error,sentence_reading_error,sight_words_error
Early Reading English,,,,,,671858,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,8,4.8,4,67.85714,60.416668,55,lowRisk,8/15/2022,,,,,,,,,34,73.809525,71.13095,50,lowRisk,31,26,26,78.57143,80.95238,60,lowRisk,8/15/2022,14,6,6,73.809525,70.833336,52,lowRisk,8/15/2022,,,,,,,,,16,9,6.75,7,55.95238,49.70238,32,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,
Early Reading English,,,,,,191161,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,6,3.27,6,42.857143,35.863094,31,someRisk,8/18/2022,,,,,,,,,29,36.904762,33.184525,19,someRisk,23,18,18,69.04762,66.51786,45,lowRisk,8/18/2022,10,0,0,0,0,13,someRisk,8/18/2022,,,,,,,,,16,4,2.03,12,21.428572,15.476191,10,highRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,
Early Reading English,,,,,,719176,,,,,,,,Kindergarten,Fall,8/19/2022,,,,,,,,,,,12,4,2.33,8,11.904762,10.863095,12,highRisk,8/19/2022,,,,,,,,,26,3.5714285,4.464286,4,highRisk,20,0,0,0,0,5,highRisk,8/19/2022,30,2,2,46.42857,47.61905,32,someRisk,8/19/2022,,,,,,,,,16,3,1.64,13,14.285714,9.672619,7,highRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28,,,
Early Reading English,,,,,,542417,,,,,,,,Kindergarten,Fall,8/16/2022,,,,,,,,,,,12,5,2.97,7,27.380953,22.321428,21,someRisk,8/16/2022,,,,,,,,,26,3.5714285,4.464286,4,highRisk,14,3,3,26.190475,27.083334,15,someRisk,8/16/2022,12,0,0,0,0,13,someRisk,8/16/2022,,,,,,,,,16,1,0.45,15,1.1904762,2.9761906,3,highRisk,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,
Early Reading English,,,,,,198246,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,8,5.16,4,72.94118,60.416668,55,lowRisk,8/15/2022,,,,,,,,,32,63.52941,56.54762,38,lowRisk,19,11,11,58.82353,52.97619,33,someRisk,8/15/2022,22,0,0,0,0,13,someRisk,8/15/2022,,,,,,,,,16,14,8.94,2,82.35294,73.21429,61,lowRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,22,,,
Early Reading English,,,,,,781453,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,5,2.73,7,18.82353,22.321428,21,someRisk,8/17/2022,,,,,,,,,28,17.647058,21.577381,13,someRisk,10,0,0,0,0,5,highRisk,8/17/2022,10,0,0,0,0,13,someRisk,8/17/2022,,,,,,,,,16,8,5.11,8,44.705883,42.559525,27,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,
Early Reading English,,,,,,835392,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,3,1.76,9,5.882353,4.910714,6,highRisk,8/15/2022,,,,,,,,,27,9.411765,11.309524,8,highRisk,20,4,4,29.411764,31.696428,18,someRisk,8/15/2022,10,0,0,0,0,13,someRisk,8/15/2022,,,,,,,,,16,5,1.66,11,16.470589,22.619047,13,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,,,
Early Reading English,,,,,,671412,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,6,3.75,6,40,35.863094,31,someRisk,8/15/2022,,,,,,,,,28,17.647058,21.577381,13,someRisk,10,1,2.4,24.705883,26.190475,14,highRisk,8/15/2022,10,0,0,0,0,13,someRisk,8/15/2022,,,,,,,,,16,5,2.27,11,16.470589,22.619047,13,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,
Early Reading English,,,,,,539898,,,,,,,,Kindergarten,Fall,8/19/2022,,,,,,,,,,,12,6,8.37,6,40,35.863094,31,someRisk,8/19/2022,,,,,,,,,29,34.117645,33.184525,19,someRisk,16,6,6,42.35294,38.392857,23,someRisk,8/19/2022,13,2,2,52.941177,47.61905,32,someRisk,8/19/2022,,,,,,,,,16,5,2.63,11,16.470589,22.619047,13,someRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,,
Early Reading English,,,,,,331148,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,7,5.83,5,56.47059,48.363094,43,lowRisk,8/15/2022,,,,,,,,,30,44.705883,42.410713,26,someRisk,29,17,17,70.588234,65.17857,44,lowRisk,8/15/2022,24,7,7,77.64706,74.25595,56,lowRisk,8/15/2022,,,,,,,,,16,1,0.63,15,3.5294118,2.9761906,3,highRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,
Early Reading English,,,,,,571029,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,11,10.48,1,95.29412,92.41071,89,lowRisk,8/17/2022,,,,,,,,,35,89.411766,76.4881,56,lowRisk,16,14,14,62.35294,57.589287,39,lowRisk,8/17/2022,17,4,4,70.588234,62.94643,44,lowRisk,8/17/2022,,,,,,,,,16,13,8.48,3,78.82353,69.34524,53,lowRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,
Early Reading English,,,,,,717889,,,,,,,,Kindergarten,Fall,8/19/2022,,,,,,,,,,,12,8,8.28,4,72.94118,60.416668,55,lowRisk,8/19/2022,,,,,,,,,35,89.411766,76.4881,56,lowRisk,21,19,19,75.29412,68.60119,47,lowRisk,8/19/2022,19,11,11,90.588234,84.22619,68,lowRisk,8/19/2022,,,,,,,,,16,14,9.44,2,82.35294,73.21429,61,lowRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,
Early Reading English,,,,,,391704,,,,,,,,One,Fall,8/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,36.206898,21.368715,11,highRisk,,,,,,,,,,,,,,,,,14,5,5,45.614037,31.748251,17,someRisk,8/22/2022,,,,,,,,,,,,,,,,,,,12,2,2,22.807018,11.344538,8,highRisk,8/22/2022,12,2,2,28.070175,15.104895,7,highRisk,8/22/2022,,,,,,,,,,,,,,,,,,,34,29,48.33,5,57.894737,44.755245,47,lowRisk,8/22/2022,,,,9,10,10
Early Reading English,,,,,,948749,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,5,4.05,7,16.666666,22.321428,21,someRisk,8/17/2022,,,,,,,,,31,51.851852,48.958332,32,someRisk,14,2,2,18.518518,22.767857,12,highRisk,8/17/2022,10,0,0,0,0,13,someRisk,8/17/2022,,,,,,,,,16,16,8.97,0,94.44444,88.39286,99,lowRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,,
Early Reading English,,,,,,106814,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,10,8.11,2,83.333336,82.8869,79,lowRisk,8/17/2022,,,,,,,,,33,72.22222,64.1369,44,lowRisk,30,26,26,90.74074,80.95238,60,lowRisk,8/17/2022,12,3,3,68.51852,56.69643,39,lowRisk,8/17/2022,,,,,,,,,16,7,2.68,9,40.74074,36.458332,22,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,
Early Reading English,,,,,,895667,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,4,6.67,8,7.4074073,10.863095,12,highRisk,8/15/2022,,,,,,,,,27,9.259259,11.309524,8,highRisk,29,1,1,7.4074073,13.541667,8,highRisk,8/15/2022,19,1,1,14.814815,30.208334,23,someRisk,8/15/2022,,,,,,,,,16,4,1.57,12,12.962963,15.476191,10,highRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,18,,,
Early Reading English,,,,,,944962,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,5,2.73,7,18.82353,22.321428,21,someRisk,8/15/2022,,,,,,,,,29,34.117645,33.184525,19,someRisk,20,5,5,37.64706,36.160713,21,someRisk,8/15/2022,23,3,3,61.17647,56.69643,39,lowRisk,8/15/2022,,,,,,,,,16,7,3.26,9,41.17647,36.458332,22,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,
Early Reading English,,,,,,456778,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,2,1.07,10,2.3529413,1.0416666,2,highRisk,8/18/2022,,,,,,,,,24,0,0.14880952,1,highRisk,10,0,0,0,0,5,highRisk,8/18/2022,10,0,0,0,0,13,someRisk,8/18/2022,,,,,,,,,16,1,0.48,15,3.5294118,2.9761906,3,highRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,
Early Reading English,,,,,,263032,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,7,4.2,5,46.296295,48.363094,43,lowRisk,8/17/2022,,,,,,,,,33,72.22222,64.1369,44,lowRisk,27,23,23,81.48148,76.190475,54,lowRisk,8/17/2022,12,3,3,68.51852,56.69643,39,lowRisk,8/17/2022,,,,,,,,,16,11,7.76,5,70.37037,60.565475,41,lowRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,
Early Reading English,,,,,,325772,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,4,2.22,8,7.4074073,10.863095,12,highRisk,8/18/2022,,,,,,,,,28,16.666666,21.577381,13,someRisk,17,3,3,27.777779,27.083334,15,someRisk,8/18/2022,12,1,1,14.814815,30.208334,23,someRisk,8/18/2022,,,,,,,,,16,8,4.57,8,48.148148,42.559525,27,someRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,,,
Early Reading English,,,,,,207175,,,,,,,,Three,Fall,8/19/2022,81,78,78,96,3,,,32,someRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,197251,,,,,,,,Three,Fall,8/20/2022,70,70,70,100,0,37.288136,40.029114,26,someRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,476417,,,,,,,,Three,Fall,8/21/2022,13,6,6,46,7,,,1,highRisk,8/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,988662,,,,,,,,Three,Fall,8/22/2022,17,11,11,65,6,,,1,highRisk,8/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,479201,,,,,,,,Kindergarten,Fall,8/18/2022,,,,,,,,,,,12,5,3.95,7,18.82353,22.321428,21,someRisk,8/18/2022,,,,,,,,,28,17.647058,21.577381,13,someRisk,30,5,5,37.64706,36.160713,21,someRisk,8/18/2022,10,0,0,0,0,13,someRisk,8/18/2022,,,,,,,,,16,5,3.13,11,16.470589,22.619047,13,someRisk,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,,,
Early Reading English,,,,,,301629,,,,,,,,Kindergarten,Fall,8/16/2022,,,,,,,,,,,12,3,2.28,9,4.477612,4.910714,6,highRisk,8/16/2022,,,,,,,,,26,0,4.464286,4,highRisk,20,1,1,13.432836,13.541667,8,highRisk,8/16/2022,11,1,1,43.28358,30.208334,23,someRisk,8/16/2022,,,,,,,,,16,5,2.14,11,13.432836,22.619047,13,someRisk,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,10,,,
Early Reading English,,,,,,838797,,,,,,,,Kindergarten,Fall,8/17/2022,,,,,,,,,,,12,6,4.44,6,40,35.863094,31,someRisk,8/17/2022,,,,,,,,,30,44.705883,42.410713,26,someRisk,20,8,8,52.941177,44.940475,28,someRisk,8/17/2022,10,1,2.22,58.82353,54.910713,35,someRisk,8/17/2022,,,,,,,,,16,9,4.15,7,55.294117,49.70238,32,someRisk,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,,,
Early Reading English,,,,,,172933,,,,,,,,Kindergarten,Fall,8/16/2022,,,,,,,,,,,12,5,3.49,7,18.82353,22.321428,21,someRisk,8/16/2022,,,,,,,,,30,44.705883,42.410713,26,someRisk,20,1,2.4,24.705883,26.190475,14,highRisk,8/16/2022,26,1,15,96.47059,90.47619,76,lowRisk,8/16/2022,,,,,,,,,16,5,2.48,11,16.470589,22.619047,13,someRisk,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,,,
Early Reading English,,,,,,148050,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,2,1.1,10,2.3529413,1.0416666,2,highRisk,8/15/2022,,,,,,,,,30,44.705883,42.410713,26,someRisk,31,15,25,87.05882,79.46429,58,lowRisk,8/15/2022,7,2,3.43,67.05882,62.35119,42,lowRisk,8/15/2022,,,,,,,,,16,10,0,6,62.35294,55.654762,36,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,,,
Early Reading English,,,,,,338968,,,,,,,,Kindergarten,Fall,8/15/2022,,,,,,,,,,,12,7,3.65,5,56.47059,48.363094,43,lowRisk,8/15/2022,,,,,,,,,30,44.705883,42.410713,26,someRisk,4,1,1.94,22.352942,22.619047,11,highRisk,8/15/2022,4,1,3.75,68.23529,62.64881,43,lowRisk,8/15/2022,,,,,,,,,16,8,2.76,8,44.705883,42.559525,27,someRisk,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,
