assessment_identifier,identification_code,reporting_method,level,score_reporting_method,result_data_type
Foundational Skills Beginner,Picture Vocab,Performance Level,Approaching Expectation,,
Foundational Skills Beginner,Picture Vocab,Performance Level,Below Expectation,,
Foundational Skills Beginner,Picture Vocab,,,Correct,Integer
Foundational Skills Beginner,Picture Vocab,,,Attempted,Integer
Foundational Skills Beginner,Phonological Awareness,Performance Level,Exceeds Expectation,,
Foundational Skills Beginner,Phonological Awareness,Performance Level,Meets Expectation,,
Foundational Skills Beginner,Phonological Awareness,Performance Level,Approaching Expectation,,
Foundational Skills Beginner,Phonological Awareness,Performance Level,Below Expectation,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,0,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,1,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,2,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,3,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,4,,
Foundational Skills Beginner,Phonological Awareness,ZPD Level,5,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Introduce - Rhymes & Syllables,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Rhymes & Syllables,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Initial Sounds,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Blending & Segmenting,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Phonemic Manipulation,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Reinforce - Phonemic Manipulation,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Reinforce - Syllable & Phoneme Manipulation,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Syllable & Phoneme Manipulation,,
Foundational Skills Beginner,Phonological Awareness,ZPD Name,Syllable Blending & Initial Sounds,,
Foundational Skills Beginner,Phonological Awareness,,,Domain Score,Integer
Foundational Skills Beginner,Phonological Awareness,,,Test Percentile,Integer
Foundational Skills Beginner,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
Foundational Skills Beginner,Sentence Reading Fluency,Performance Level,Meets Expectation,,
Foundational Skills Beginner,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
Foundational Skills Beginner,Sentence Reading Fluency,Performance Level,Below Expectation,,
Foundational Skills Beginner,Sentence Reading Fluency,Performance Level,No Expectation,,
Foundational Skills Beginner,Sentence Reading Fluency,,,Correct,Integer
Foundational Skills Beginner,Sentence Reading Fluency,,,Attempted,Integer
Foundational Skills With Dyslexia Screening,Listening Comprehension,Performance Level,Exceeds Expectation,,
Foundational Skills With Dyslexia Screening,Listening Comprehension,Performance Level,Meets Expectation,,
Foundational Skills With Dyslexia Screening,Listening Comprehension,Performance Level,Approaching Expectation,,
Foundational Skills With Dyslexia Screening,Listening Comprehension,Performance Level,Below Expectation,,
Foundational Skills With Dyslexia Screening,Listening Comprehension,,,Correct,Integer
Foundational Skills With Dyslexia Screening,Listening Comprehension,,,Attempted,Integer
Foundational Skills With Dyslexia Screening,Picture Vocab,Performance Level,Meets Expectation,,
Foundational Skills With Dyslexia Screening,Picture Vocab,Performance Level,Approaching Expectation,,
Foundational Skills With Dyslexia Screening,Picture Vocab,Performance Level,Below Expectation,,
Foundational Skills With Dyslexia Screening,Picture Vocab,,,Correct,Integer
Foundational Skills With Dyslexia Screening,Picture Vocab,,,Attempted,Integer
Foundational Skills With Dyslexia Screening,Phonological Awareness,Performance Level,Exceeds Expectation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,Performance Level,Meets Expectation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,Performance Level,Approaching Expectation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,Performance Level,Below Expectation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,0,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,1,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,2,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,3,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,4,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Level,5,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Introduce - Rhymes & Syllables,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Rhymes & Syllables,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Initial Sounds,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Blending & Segmenting,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Phonemic Manipulation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Reinforce - Phonemic Manipulation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Reinforce - Syllable & Phoneme Manipulation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Syllable & Phoneme Manipulation,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,ZPD Name,Syllable Blending & Initial Sounds,,
Foundational Skills With Dyslexia Screening,Phonological Awareness,,,Domain Score,Integer
Foundational Skills With Dyslexia Screening,Phonological Awareness,,,Test Percentile,Integer
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,Performance Level,Meets Expectation,,
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,Performance Level,Below Expectation,,
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,Performance Level,No Expectation,,
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,,,Correct,Integer
Foundational Skills With Dyslexia Screening,Sentence Reading Fluency,,,Attempted,Integer
Adaptive Oral Reading,Listening Comprehension,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading,Listening Comprehension,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Listening Comprehension,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Listening Comprehension,Performance Level,Below Expectation,,
Adaptive Oral Reading,Listening Comprehension,,,Correct,Integer
Adaptive Oral Reading,Listening Comprehension,,,Attempted,Integer
Adaptive Oral Reading,Picture Vocab,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Picture Vocab,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Picture Vocab,Performance Level,Below Expectation,,
Adaptive Oral Reading,Picture Vocab,,,Correct,Integer
Adaptive Oral Reading,Picture Vocab,,,Attempted,Integer
Adaptive Oral Reading,Phonological Awareness,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading,Phonological Awareness,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Phonological Awareness,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Phonological Awareness,Performance Level,Below Expectation,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,0,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,1,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,2,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,3,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,4,,
Adaptive Oral Reading,Phonological Awareness,ZPD Level,5,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Introduce - Rhymes & Syllables,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Rhymes & Syllables,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Initial Sounds,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Blending & Segmenting,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Phonemic Manipulation,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Reinforce - Phonemic Manipulation,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Reinforce - Syllable & Phoneme Manipulation,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Syllable & Phoneme Manipulation,,
Adaptive Oral Reading,Phonological Awareness,ZPD Name,Syllable Blending & Initial Sounds,,
Adaptive Oral Reading,Phonological Awareness,,,Domain Score,Integer
Adaptive Oral Reading,Phonological Awareness,,,Test Percentile,Integer
Adaptive Oral Reading,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading,Sentence Reading Fluency,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Sentence Reading Fluency,Performance Level,Below Expectation,,
Adaptive Oral Reading,Sentence Reading Fluency,Performance Level,No Expectation,,
Adaptive Oral Reading,Sentence Reading Fluency,,,Correct,Integer
Adaptive Oral Reading,Sentence Reading Fluency,,,Attempted,Integer
Adaptive Oral Reading,Oral Reading Rate,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading,Oral Reading Rate,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Oral Reading Rate,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Oral Reading Rate,Performance Level,Below Expectation,,
Adaptive Oral Reading,Oral Reading Rate,Performance Level,No Score,,
Adaptive Oral Reading,Oral Reading Rate,,,WCPM,Integer
Adaptive Oral Reading,Oral Reading Accuracy,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading,Oral Reading Accuracy,Performance Level,Meets Expectation,,
Adaptive Oral Reading,Oral Reading Accuracy,Performance Level,Approaching Expectation,,
Adaptive Oral Reading,Oral Reading Accuracy,Performance Level,Below Expectation,,
Adaptive Oral Reading,Oral Reading Accuracy,Performance Level,No Score,,
Adaptive Oral Reading,Oral Reading Accuracy,,,Oral Reading Accuracy Score,Decimal
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,Performance Level,Meets Expectation,,
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,Performance Level,Below Expectation,,
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,Performance Level,No Expectation,,
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,,,Correct,Integer
Adaptive Oral Reading Passages Only,Sentence Reading Fluency,,,Attempted,Integer
Adaptive Oral Reading Passages Only,Oral Reading Rate,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Rate,Performance Level,Meets Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Rate,Performance Level,Approaching Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Rate,Performance Level,Below Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Rate,Performance Level,No Score,,
Adaptive Oral Reading Passages Only,Oral Reading Rate,,,WCPM,Integer
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,Performance Level,Exceeds Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,Performance Level,Meets Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,Performance Level,Approaching Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,Performance Level,Below Expectation,,
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,Performance Level,No Score,,
Adaptive Oral Reading Passages Only,Oral Reading Accuracy,,,Oral Reading Accuracy Score,Decimal
