Battery,battery_definition,Form,Level,assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
C,Complete/Core,F,6,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,F,5,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,16,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,15,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,14,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,13,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,12,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,11,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,10,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,9,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,8,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,7,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,6,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
C,Complete/Core,E,5,IOWA-Complete,IOWA-Complete,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Complete,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
