identificationCode,reportingMethod,resultDataType
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Upper,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected one-year ACT Aspire Score Range Upper,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Lower,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Lower,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Lower,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Lower,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Lower,Integer
English,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Upper,Integer
Reading,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Upper,Integer
Writing,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Upper,Integer
Mathematics,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Upper,Integer
Science,uri://act.org/AssessmentReportingMethodDescriptor#Projected two-year ACT Aspire Score Range Upper,Integer
Production of Writing,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Knowledge of Language,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Conventions of Standard English,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Key Ideas and Details,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Craft and Structure,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Integration of Knowledge and Ideas,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Ideas and Analysis,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Development and Support,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Organization,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Language Use and Conventions,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Grade Level Progress,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Foundation,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Justification and Explanation,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Modeling,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Number and Operations - Fractions,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Number and Operations in Base 10,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
The Number System,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Number and Quantity,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Operations and Algebraic Thinking,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Expressions & Equations,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Ratios and Proportional Relationships,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Algebra,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Functions,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Geometry,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Measurement and Data,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Statistics and Probability,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Interpretation of Data,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Scientific Investigation,uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/AssessmentReportingMethodDescriptor#Earned Points,Integer
Production of Writing,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Knowledge of Language,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Conventions of Standard English,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Key Ideas and Details,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Craft and Structure,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Integration of Knowledge and Ideas,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Ideas and Analysis,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Development and Support,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Organization,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Language Use and Conventions,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Grade Level Progress,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Foundation,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Justification and Explanation,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Modeling,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Number and Operations - Fractions,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Number and Operations in Base 10,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
The Number System,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Number and Quantity,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Operations and Algebraic Thinking,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Expressions & Equations,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Ratios and Proportional Relationships,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Algebra,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Functions,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Geometry,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Measurement and Data,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Statistics and Probability,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Interpretation of Data,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Scientific Investigation,uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/AssessmentReportingMethodDescriptor#Total Points,Integer
Production of Writing,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Knowledge of Language,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Conventions of Standard English,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Key Ideas and Details,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Craft and Structure,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Integration of Knowledge and Ideas,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Ideas and Analysis,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Development and Support,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Organization,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Language Use and Conventions,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Grade Level Progress,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Foundation,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Justification and Explanation,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Modeling,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Number and Operations - Fractions,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Number and Operations in Base 10,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
The Number System,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Number and Quantity,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Operations and Algebraic Thinking,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Expressions & Equations,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Ratios and Proportional Relationships,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Algebra,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Functions,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Geometry,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Measurement and Data,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Statistics and Probability,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Interpretation of Data,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
Scientific Investigation,uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/AssessmentReportingMethodDescriptor#Percent Correct,Integer
