SchoolYear,StateName,DistrictName,SchoolName,ClassroomName,InitDistrictId,StudentId,Assessment,Objective,TimeWindow,AssessmentIdentifier,Score,Tier,AdministrationDate
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298325,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,48,Cut Range,8/23/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298326,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,48,Cut Range,8/23/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298327,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,49,Cut Range,8/23/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298328,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,49,Cut Range,8/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298329,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/1/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298330,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,46,Tier II/III,8/23/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298301,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298302,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,45,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298303,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298304,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298305,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,43,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298306,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,46,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298307,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,45,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298308,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298309,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,43,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298310,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,45,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298311,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,46,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298312,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298313,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,53,Tier I,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298314,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298315,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,42,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298316,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,43,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298317,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,43,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298318,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298319,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,45,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298320,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/23/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298321,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298322,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298323,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,8/24/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298324,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298325,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298326,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,46,Cut Range,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298327,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298328,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/24/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298329,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,44,Tier II/III,8/31/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298330,Early Literacy+,Rhyming,Fall Screening,EarlyLiteracy+_Rhyming,37,Tier II/III,8/24/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298301,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,48,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298302,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298303,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,50,Tier I,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298304,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,52,Tier I,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298305,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298306,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298307,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,43,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298308,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298309,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298310,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,46,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298311,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,46,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298312,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,55,Tier I,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298313,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,45,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298314,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298315,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,46,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298316,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,48,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298317,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298318,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,46,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298319,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,49,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298320,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,46,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298321,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298322,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298323,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,47,Cut Range,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298324,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298325,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298326,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298327,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298328,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/25/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298329,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,44,Tier II/III,9/1/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298330,Early Literacy+,Sound ID,Fall Screening,EarlyLiteracy+_SoundID,39,Tier II/III,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298301,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298302,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,48,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298303,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,48,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298304,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298305,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,49,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298306,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,47,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298307,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298308,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,48,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298309,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,45,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298310,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298311,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,44,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298312,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,50,Tier I,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298313,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,49,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298314,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298315,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298316,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,47,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298317,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,50,Tier I,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298318,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,45,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298319,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298320,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298321,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/31/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298322,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/29/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298323,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298324,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/31/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298325,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,48,Cut Range,8/29/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298326,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,49,Cut Range,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298327,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,47,Cut Range,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298328,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,46,Tier II/III,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298329,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/31/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298330,Early Literacy+,WODB,Fall Screening,EarlyLiteracy+_WODB,40,Tier II/III,8/26/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298301,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,10,Cut Range,10/6/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298302,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,17,Cut Range,10/5/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298303,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,29,Tier I,10/5/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298304,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,29,Tier I,10/4/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298305,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,20,Tier I,10/5/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298306,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,13,Cut Range,10/5/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298307,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,11,Cut Range,10/6/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298308,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,29,Tier I,10/5/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298309,Early Numeracy,Oral Counting,Fall Screening,EarlyNumeracy_OralCounting,15,Cut Range,10/6/2022
